Imagen,Filtro aplicado,Tipo,Entropía,Contraste RMS,SSIM
SATELITAL.png,original,espacial,6.03461054708234,22.106594341185165,1.0
SATELITAL.png,original + erosion,espacial + morfologico,5.597705756445399,15.608721967285733,0.7361746237310844
SATELITAL.png,original + dilatacion,espacial + morfologico,6.330957579196773,28.403696768355815,0.7310117289521681
SATELITAL.png,original + apertura,espacial + morfologico,5.7689977359489975,18.736483875371924,0.8243851760099293
SATELITAL.png,original + clausura,espacial + morfologico,6.072239784464212,23.213104813676235,0.8556541847509392
SATELITAL.png,original + top_hat,espacial + morfologico,3.844107983857806,6.7538559015171495,0.1465742199785521
SATELITAL.png,gaussiano,espacial,5.942960624416427,21.342238123319635,0.9138006487342225
SATELITAL.png,gaussiano + erosion,espacial + morfologico,5.69213139625264,16.852610981936728,0.8998292611632265
SATELITAL.png,gaussiano + dilatacion,espacial + morfologico,6.150559969190909,26.038268382937982,0.8957978825695831
SATELITAL.png,gaussiano + apertura,espacial + morfologico,5.836515916225073,19.662200108243347,0.9494079661058434
SATELITAL.png,gaussiano + clausura,espacial + morfologico,5.956050894084102,21.862760805638754,0.9656842043723238
SATELITAL.png,gaussiano + top_hat,espacial + morfologico,2.5657207679472402,3.7694470631720183,0.054185743102501085
SATELITAL.png,laplaciano,espacial,4.1401606252624035,5.01144376560085,0.15118469216450645
SATELITAL.png,laplaciano + erosion,espacial + morfologico,4.959136867294746,9.60610720887034,0.5659242803348867
SATELITAL.png,laplaciano + dilatacion,espacial + morfologico,5.614026425730091,18.18449679745034,0.12295608954015469
SATELITAL.png,laplaciano + apertura,espacial + morfologico,4.1289081500637,5.386632578843762,0.745744104243544
SATELITAL.png,laplaciano + clausura,espacial + morfologico,4.811530580235158,10.915053421946538,0.1455288452487357
SATELITAL.png,laplaciano + top_hat,espacial + morfologico,4.805205839979887,11.646234811836441,0.10022767708641511
SATELITAL.png,sobel,espacial,4.077543236083897,6.1131183567107055,0.4450129626703949
SATELITAL.png,sobel + erosion,espacial + morfologico,4.668487016368261,11.956672809079155,0.7318181177771729
SATELITAL.png,sobel + dilatacion,espacial + morfologico,4.73957637670229,12.428741892020644,0.5605734758785411
SATELITAL.png,sobel + apertura,espacial + morfologico,3.990182239572299,6.863356459835379,0.821608592093457
SATELITAL.png,sobel + clausura,espacial + morfologico,4.055900490218176,7.14215889744035,0.6057778212396622
SATELITAL.png,sobel + top_hat,espacial + morfologico,3.8677521948603886,8.188098102744277,0.0749574910173121
PROTEINA.png,original,espacial,4.940594193993996,60.48442426805801,1.0
PROTEINA.png,original + erosion,espacial + morfologico,3.328925695340996,33.507217389647536,0.49770055034523236
PROTEINA.png,original + dilatacion,espacial + morfologico,6.191381572605218,83.27255620419702,0.3216054359228116
PROTEINA.png,original + apertura,espacial + morfologico,3.6883742689819017,45.04307235053695,0.6513479827972423
PROTEINA.png,original + clausura,espacial + morfologico,5.588035204889968,62.67541136388118,0.7013001827452561
PROTEINA.png,original + top_hat,espacial + morfologico,3.3907506834200047,22.569976556357453,0.7039668383593025
PROTEINA.png,gaussiano,espacial,5.380033886176534,57.96466810443459,0.90945806864243
PROTEINA.png,gaussiano + erosion,espacial + morfologico,4.356443688188972,36.93705211441138,0.6699751286430043
PROTEINA.png,gaussiano + dilatacion,espacial + morfologico,5.799480134409379,75.58552582004539,0.6745710530319753
PROTEINA.png,gaussiano + apertura,espacial + morfologico,4.78735934232316,48.11943465373592,0.86571303796441
PROTEINA.png,gaussiano + clausura,espacial + morfologico,5.340616415041498,59.18382884490221,0.9482790912810558
PROTEINA.png,gaussiano + top_hat,espacial + morfologico,2.9227867777547734,15.027417363167544,0.5987094115974129
PROTEINA.png,laplaciano,espacial,4.335072327574282,7.23485386165344,-0.05974325377699433
PROTEINA.png,laplaciano + erosion,espacial + morfologico,5.998445712209763,23.11585115073968,0.3480300876682373
PROTEINA.png,laplaciano + dilatacion,espacial + morfologico,5.388391121623965,16.59509179998619,0.10605039747507718
PROTEINA.png,laplaciano + apertura,espacial + morfologico,4.9564511597960035,12.199147077633297,0.644971221222992
PROTEINA.png,laplaciano + clausura,espacial + morfologico,4.714695170191241,11.066218149101577,0.09521502870330326
PROTEINA.png,laplaciano + top_hat,espacial + morfologico,4.354021503481893,8.334967829990374,0.10198761397097793
PROTEINA.png,sobel,espacial,4.416011161013221,13.114233033084728,0.04332073682350925
PROTEINA.png,sobel + erosion,espacial + morfologico,5.147144491723063,27.933471319236606,0.6592494143124386
PROTEINA.png,sobel + dilatacion,espacial + morfologico,5.139549148203885,27.804723310455756,0.477344147527325
PROTEINA.png,sobel + apertura,espacial + morfologico,4.3912034457075615,16.175027754779734,0.8022391360412349
PROTEINA.png,sobel + clausura,espacial + morfologico,4.3851696814951575,16.029945039375402,0.5460387336086244
PROTEINA.png,sobel + top_hat,espacial + morfologico,2.843923456490689,9.980122956278002,0.049142783244333896
GEOESPACIAL.png,original,espacial,7.182919810515613,36.81976294489409,1.0
GEOESPACIAL.png,original + erosion,espacial + morfologico,7.118914910781025,34.24841845044664,0.3324781159334394
GEOESPACIAL.png,original + dilatacion,espacial + morfologico,6.6904676701574255,31.249288039239502,0.3207031652881062
GEOESPACIAL.png,original + apertura,espacial + morfologico,7.031761469729792,32.877287546090265,0.5783248736838705
GEOESPACIAL.png,original + clausura,espacial + morfologico,6.822328060456329,31.680810939353375,0.5549198101196238
GEOESPACIAL.png,original + top_hat,espacial + morfologico,5.383233374754365,21.676180300761974,0.19425589189934694
